index,manip,maxmean,maxstd
biceps,evsn,0.5623938325488187,0.22634740699659492
biceps,mvsw,0.497890191880417,0.22988576006545955
deltant,evsn,0.7499805048162637,0.18068595802417836
deltant,mvsw,0.6741045974584937,0.20098134096545778
deltmed,evsn,0.5678725521146852,0.2251636155555994
deltmed,mvsw,0.5492603006903126,0.19654512533596577
deltpost,evsn,0.22295465976670448,0.20911922391304666
deltpost,mvsw,0.30021624859923146,0.19858834359729
isp,evsn,0.5570722097194115,0.2699804254064673
isp,mvsw,0.6337579796227962,0.2585943213861593
latissimus,mvsw,0.23817213547600463,0.21713427392986778
lotrap,mvsw,0.44882717202812006,0.17997429193961914
pect,evsn,0.4834790979841858,0.2612114868411258
pect,mvsw,0.41085342792663776,0.26610521059154046
serratus,mvsw,0.6371094271642384,0.19175003048478237
ssp,evsn,0.43966565020335185,0.2799723809785204
ssp,mvsw,0.47868104295565256,0.2788926147937327
subs,evsn,0.36201407862115165,0.3062256630071186
subs,mvsw,0.3344119273814285,0.3027873034796391
triceps,evsn,0.33258873593370436,0.21220674098340028
triceps,mvsw,0.25990051452609353,0.20377998632870442
uptrap,evsn,0.5572513992766877,0.21226173858411088
uptrap,mvsw,0.6251290474571778,0.22597872682157763
